name,type,address,region,city,contact
AUTOLIFE Car Service,For 24Hours အရေးပေါ် ဖုန်းအားသွင်းဖို့ လိုအပ်ခြင်း သုံးရေ လိုအပ်ခြင်း ကား အရေးပေါ် ပြင်ဆင်ရန် လိုအပ်ခြင်း (FOC),"၄ ဇ, 74 လမ်း နှင့် မြို့မဥယျာဥ်လမ်းထောင့်, တောင်မြင့်ရပ်ကွက်, ပြည်ကြီးတံခွန်မြို့နယ်",မန္တလေးတိုင်း,မန္တလေး,
77 Remax,ဖုန်းအားသွင်းဖို့အခမဲ့,77 လမ်း 27 x 28 ကြား,မန္တလေးတိုင်း,မန္တလေး,
78 Remax,ဖုန်းအားသွင်းဖို့အခမဲ့,78လမ်း 27 x 28 ကြား,မန္တလေးတိုင်း,မန္တလေး,
62 Remax,ဖုန်းအားသွင်းဖို့အခမဲ့,62 လမ်း 109 x 110 ကြား,မန္တလေးတိုင်း,မန္တလေး,
35 Gadget Max,ဖုန်းအားသွင်းဖို့အခမဲ့,35လမ်း 68 x 69 ကြား,မန္တလေးတိုင်း,မန္တလေး,
35 Aplus Phone Accessories,ဖုန်းအားသွင်းဖို့အခမဲ့,35လမ်း 68 x 69 ကြား,မန္တလေးတိုင်း,မန္တလေး,
စက်မှု Aplus phone Accessories,ဖုန်းအားသွင်းဖို့အခမဲ့,62 လမ်း 132 x 133 ကြား,မန္တလေးတိုင်း,မန္တလေး,
mStudio,ဖုန်းအားသွင်းဖို့အခမဲ့,73လမ်း x 28 ထောင့်,မန္တလေးတိုင်း,မန္တလေး,
T9 Mobile,ဖုန်းအားသွင်းဖို့အခမဲ့,"19လမ်း 62, 63 ကြား",မန္တလေးတိုင်း,မန္တလေး,
511 Hair Salon,ဖုန်းအားသွင်းဖို့အခမဲ့,55/56-114 လမ်း,မန္တလေးတိုင်း,မန္တလေး,
ဒေါ်ဌေးဌေး,ဖုန်းအားသွင်းဖို့အခမဲ့,66 လမ်း 106 x 107 ကြား,မန္တလေးတိုင်း,မန္တလေး,
အိန္ဒြေကျော်ဆပ်ပြာကုန်ကြမ်းဆိုင်,ဖုန်းအားသွင်းဖို့အခမဲ့,49 C လမ်း 121 x 122 ကြား,မန္တလေးတိုင်း,မန္တလေး,
Moonlight Korea,ဖုန်းအားသွင်းဖို့အခမဲ့,Denko ဆီဆိုင်နား မရောက်ခင် ဓနုရုံးရှေ့,ရှမ်းပြည်နယ်,အောင်ပန်း,
Heart Beat Restaurant,ဖုန်းအားသွင်းဖို့အခမဲ့,ကမ္ဘောဇလမ်း ရေအေးကွင်း,ရှမ်းပြည်နယ်,တောင်ကြီး,
Aye Myit Tar Baby&Mum Store,ဖုန်းအားသွင်းဖို့အခမဲ့,,ပဲခူးတိုင်း,ပဲခူး,
